show_id,listed_in_id
81186758,5
81186758,23
81186757,2
81186757,5
81186757,23
80108976,10
80208155,1
80162144,2
80162144,13
80162144,7
81053953,10
81074113,8
80992496,10
80992496,5
70304191,2
70304191,5
80103311,2
80103311,15
80103311,5
81176200,2
81176200,11
81176200,5
81176200,17
80208906,2
80208906,13
80208906,14
80106966,8
80106966,18
81080769,11
81080769,13
81080769,5
70267838,20
70267838,23
80211380,13
80211380,5
80211380,7
80196586,20
80196586,23
80099204,11
80099204,13
80099204,7
80059432,2
81172721,11
81172721,5
81172727,2
81172727,5
70153543,11
70153543,5
81172728,2
81172728,5
81172728,14
81172728,28
81172728,25
81172728,9
81172728,3
81172728,18
81172728,21
80102952,20
80102952,23
80102952,17
80102952,18
80243600,2
80243600,3
80243600,18
80243600,4
80243600,29
81122669,11
81122669,13
81122669,30
81122669,9
81000389,3
81000389,17
81000389,18
81132439,2
81132439,5
81132439,26
80150502,11
80150502,5
80150502,3
80119815,11
80119815,13
80119815,3
80119815,25
80203776,10
80203776,2
80203776,5
80143797,2
80143797,11
80143797,5
80161931,11
80161931,7
80017275,11
80017275,5
81107545,11
81107545,5
81107545,14
70118953,20
70118953,5
80190449,13
80190449,6
80190449,7
80163156,8
80163156,18
80163156,21
80149143,11
80149143,7
80149143,28
80149143,16
80987075,2
80192815,1
80192815,18
80066798,20
80066798,23
81147293,15
81147293,13
81147293,9
80991316,10
80190588,20
80190588,23
70124316,10
70124316,5
70229037,8
70229037,17
80037280,15
80037280,13
80037280,29
80037280,22
80058248,10
80058248,11
70307661,15
70307661,7
70117312,10
70117312,2
70117312,12
80092885,5
80092885,6
80092885,7
80108371,8
70129452,31
70129452,32
70129452,22
81030342,20
81030342,5
81030342,23
70054723,20
81131761,31
81131761,9
81131761,3
81131761,18
81016326,2
81016326,11
81016326,5
81016326,3
81016326,24
80227777,11
80227777,5
81018233,11
81018233,5
81018233,14
81016317,11
81016317,5
81016317,14
81016337,11
81016337,5
81018234,10
81018234,11
81018234,5
81018234,3
81018234,24
81018234,22
81018235,11
81018235,5
81018236,11
81018236,5
81018237,11
81018237,5
81018238,11
81018238,5
80067522,11
80192149,11
80192149,5
80142637,2
80142637,11
80142637,5
80192014,10
80192015,10
80192015,13
80202129,33
80202129,29
80202129,18
80088910,2
70290909,20
70290909,23
70290909,3
80033772,20
81093951,2
81093951,5
81093951,23
80238013,20
80238013,5
81089941,11
81089941,7
81000011,11
81000011,5
81000011,16
81000011,18
80217733,10
80217733,5
80217733,6
80217733,3
80217733,4
80217733,17
80999985,15
80999985,5
80188120,11
80188120,5
80188120,7
80164779,2
80164779,11
80164779,13
80164779,16
80164779,25
81092328,11
81183572,7
81037283,15
81037283,13
80244973,20
80244973,3
80244973,34
81132438,2
81132438,5
81132438,18
81132438,34
81132438,4
81161230,11
81161230,5
81161230,14
81002412,1
81002412,2
81002412,14
81023636,10
81023636,6
81023636,29
81023636,3
81023636,18
80198046,20
80198046,18
80198046,35
80198046,9
70267728,1
70267728,2
70267728,28
70267728,18
81001000,11
81001000,5
80158670,8
80158670,17
80158670,32
80158670,9
80244019,11
80244019,5
80162143,15
81060174,8
70130445,11
70130445,14
70130445,5
81001494,20
81001494,5
81001494,24
80991570,7
80184129,2
80184129,13
80184129,7
60000861,2
60000861,12
60000861,11
1151375,10
1151375,5
80187228,10
81031008,20
70099119,1
70039185,2
70039185,14
81165769,11
81165769,5
70056433,2
70113003,11
60031232,11
60031232,7
80032842,11
80032842,5
80032842,7
81137482,11
81137482,13
81137482,5
70043308,1
70043308,2
81165771,2
81165771,5
81165771,14
70044697,10
70044697,11
70105368,11
70105368,13
70105368,29
70105368,22
81141689,1
1008581,36
1008581,2
1008581,12
70058023,2
70058023,12
81165786,11
81165786,5
81165786,14
81165770,11
81165770,5
81165770,7
70043303,11
70043303,14
70043303,6
70136074,15
70136074,13
70136074,7
1153194,10
1153194,14
70112730,10
81158575,2
81158575,5
81065786,10
81065786,2
81065786,5
70087541,10
70087541,2
81004113,29
81004113,3
81004113,18
81003984,20
81003984,5
81003984,37
70024088,13
70024088,7
81005312,11
81005312,5
81005312,7
80082969,15
80082969,7
80994130,11
80994130,13
80994130,5
81019924,1
81019924,2
81019924,11
81018240,11
81018240,13
81018240,5
81013710,11
81013710,13
81013710,5
70077076,2
70077076,12
70077076,15
81014988,11
81014988,13
81014988,5
80102950,2
80102950,15
80102950,5
80102950,17
80102950,18
70055221,2
70055221,13
70055221,5
81005314,11
81005314,5
81005314,37
80242828,15
81004223,15
81004223,13
81004223,7
80198730,11
80198730,7
80198730,5
80198730,37
81016043,15
81016043,5
81016043,7
17672040,10
17672040,18
17672040,17
17672040,34
20254278,10
20254278,5
20254278,18
20254278,34
70276596,10
70276596,38
70276596,5
80063025,10
80063025,38
80063025,5
70068739,11
70068739,13
70068739,5
70068739,14
70068739,37
80156941,11
80156941,5
80156941,23
80156941,18
80156941,3
80156941,24
70052492,10
70052492,38
70052492,5
70036200,10
70036200,38
70036200,5
70018513,10
70018513,38
70018513,5
80158480,10
80158480,5
80139506,2
80139506,15
80205314,11
80205314,5
80205314,37
80205314,17
80205314,18
80158545,2
80158545,5
80158545,23
80156939,10
80156939,11
80156939,5
80152537,10
80152537,38
80152537,5
80045673,10
80045673,38
80045673,5
70275937,10
70275937,38
70275937,5
70101321,10
70101321,38
70101321,5
70108386,10
70108386,38
70108386,5
70074559,10
70074559,38
70074559,5
80162197,10
80162197,2
80162197,5
80162197,37
80160358,20
80160358,5
60034929,36
60034929,2
60034929,13
80157134,11
80157134,5
80157134,14
80141891,2
80141891,11
80141891,5
80183897,7
80177834,1
80177834,2
80121855,20
80121855,5
80168028,11
80168028,5
80190990,20
80190990,5
80173269,20
80173269,30
80173269,23
80106140,11
80106140,5
80106137,2
80106137,5
80106137,22
80106137,34
80106137,19
80114155,11
80114155,13
80114155,5
80114155,16
80114155,17
80118841,1
80118841,2
80102579,1
80102579,11
80102579,37
80102579,17
80102579,18
80102579,16
80114419,2
80114419,5
80114419,17
80114419,18
80114419,16
80103426,2
80103426,5
80103426,14
80103426,29
80103426,22
70278877,8
80244311,11
80244311,14
81183570,11
81183570,7
81016328,1
81016328,11
81016328,37
80239503,8
81016321,11
81016321,5
81016321,14
80995737,8
80995737,2
81020161,10
81020161,11
81020161,5
80025390,11
80025390,5
80196216,20
80196216,23
80115464,8
80041653,10
80041653,11
80041653,5
81016338,11
81016338,5
81016338,14
81002592,2
81002592,11
81002592,5
81017724,15
81017724,3
80170301,10
80170301,2
80170301,5
80170301,30
80170301,28
80170301,25
81177367,11
81177367,13
81177367,5
81016323,11
81016323,5
81016323,37
81016318,11
81016318,5
81016318,3
80242081,15
80242081,7
80168222,2
80168222,11
80168222,13
80168222,28
80168222,17
81158574,2
81158574,5
81158574,14
80237905,15
80237905,7
81132440,1
81132440,2
