show_id,director_id
81183572,181
81037283,182
80244973,183
81132438,184
81161230,185
81002412,186
81023636,187
81023636,188
80198046,189
70267728,190
81001000,191
80158670,192
80244019,193
80162143,194
81060174,195
70130445,196
81001494,197
81001494,198
80991570,199
80184129,200
60000861,201
1151375,202
80187228,203
81031008,204
70099119,205
70039185,206
81165769,207
70056433,208
70113003,209
60031232,210
80032842,207
81137482,211
81137482,212
70043308,213
70043308,214
81165771,207
70044697,215
70105368,216
81141689,217
1008581,218
70058023,219
81165786,207
81165770,207
70043303,220
70136074,221
1153194,222
70112730,223
81158575,224
81065786,225
70087541,226
81004113,227
81003984,228
70024088,229
81005312,230
80082969,231
80994130,232
81019924,233
81018240,234
81013710,235
70077076,59
81014988,236
80102950,32
70055221,237
81005314,238
80242828,239
81004223,240
80198730,241
81016043,242
17672040,243
20254278,244
70276596,245
80063025,245
70068739,246
70068739,247
80156941,244
70052492,248
70036200,248
70018513,248
80158480,249
80139506,250
80205314,251
80158545,252
80156939,253
80152537,254
80045673,254
70275937,254
70101321,255
70108386,256
70074559,257
80162197,258
80162197,259
80160358,260
80160358,261
60034929,262
80157134,263
80157134,253
80141891,264
80141891,265
80183897,266
80177834,267
80121855,268
80168028,269
80190990,265
80190990,264
80173269,270
80106140,193
80106137,271
80114155,272
80118841,273
80102579,274
80114419,275
80103426,276
70278877,277
80244311,278
81183570,279
81016328,280
80239503,281
81016321,282
80995737,283
81020161,284
80025390,285
80196216,286
80115464,287
80041653,288
81016338,289
81002592,290
81017724,291
80170301,292
81177367,293
81016323,282
81016318,153
80242081,294
80168222,295
81158574,296
80237905,297
81132440,298
81021243,299
81021243,300
81004460,301
81016330,153
70105130,302
80141858,303
81084225,304
80203920,305
80199806,306
80084834,307
80208273,308
80145699,309
70266684,310
81166978,311
81177371,312
70067230,234
80207446,313
80207446,314
80207447,315
81016324,153
80192097,316
70002129,317
80191963,318
80218099,319
80199767,320
80191665,321
80161921,322
81148672,323
80224362,324
80092857,325
81110394,326
80067754,327
80189954,325
80094648,328
80066073,329
80123740,330
80123741,331
80123742,332
81000863,333
81000863,334
70082255,335
80117454,336
80095197,337
80045783,338
81123469,339
80990221,340
80202352,341
80235268,342
81025088,343
80173479,344
80081372,345
81136744,346
81132444,347
80182014,348
81018455,349
81110383,350
81018183,351
81018183,352
80064515,353
80062011,354
80062011,355
80062011,356
80062011,357
80062011,358
80062011,359
80062011,360
80062011,361
80062011,362
80062011,363
80062011,213
80062011,364
80062011,365
81034741,366
81075461,367
81075461,368
80205231,369
80158919,370
80158919,371
80017261,372
80186796,373
81071891,374
80224536,375
80994444,376
80017286,377
70295169,378
80039050,379
81027753,380
15815343,381
70295176,382
81043190,383
80131240,384
80131240,385
70170182,386
70082633,387
70049619,388
80211135,389
70109884,390
70176967,391
70198040,392
80038442,393
80091310,394
70114484,153
80117443,395
80010717,396
81020005,397
81020005,398
81035748,399
80135164,349
80135164,400
80113669,401
81094801,402
80218973,376
80235999,403
80235999,404
80017240,403
70118859,405
80236778,406
80236778,407
80236470,408
80236470,409
699257,410
80236574,407
80039069,411
80046779,412
60001650,413
81172848,414
81034575,415
80226951,416
80232279,417
80239666,418
81011973,419
80144152,420
81035749,399
80148162,421
80171705,422
81172729,423
81172895,424
80206910,425
81132442,426
81172723,427
80990336,428
81172909,429
80994011,430
81172902,427
80998890,431
81047903,432
81026343,433
70125931,434
70235768,435
80177406,101
81053240,436
80043834,425
81157840,437
80244900,438
80211134,439
70271601,440
80204433,441
80089199,442
80043049,443
80044545,444
80070182,445
80070182,446
80176234,447
80992769,448
81025935,449
81020508,26
80201824,450
80203782,451
80201829,452
80126016,453
80202089,454
80203789,455
80193423,456
80201825,457
80028360,458
80203783,459
80142617,460
80201823,461
80190841,462
80115858,463
80158547,464
80206827,465
80202090,466
80203790,467
80158391,468
80201822,469
80123743,470
70258995,245
70208801,471
70260383,471
80123744,472
70105699,473
70124999,473
80990869,474
80187205,475
80097472,476
80075009,477
70280748,287
81034012,478
81034012,479
81019031,480
80148070,481
80155812,482
80183198,483
80164456,484
80174434,377
80075476,485
80158148,486
80239565,487
81021082,57
80240972,488
80103282,489
80134526,490
80127559,216
80005501,491
81132441,492
81078819,493
80223997,13
81191666,494
81133621,495
81038598,496
81016322,282
80147323,497
80210932,498
81015317,499
81015317,500
80205204,412
70235731,501
80003481,502
81168338,503
81103033,504
60002273,505
70297962,506
269880,507
60029167,507
60020891,508
347365,509
60003242,484
60027726,484
81166946,510
70023961,511
60027716,94
70287957,512
81168345,513
60020892,514
81164752,515
60028097,516
70065112,517
70083108,518
70083108,519
70184050,520
81168347,521
81003460,522
81168348,521
70095135,523
81168340,524
60023597,413
81002876,525
70058017,526
70058024,430
70011211,430
70271599,527
70020699,528
60003540,529
60003540,530
1181550,531
70170051,532
70021630,533
70021630,534
81043753,535
60001761,536
70041963,537
70058025,538
70058025,354
70128696,539
70077542,540
81168342,541
81165772,207
510854,542
60000921,542
81168343,543
70044605,544
18021979,545
18021979,546
81168344,547
70020750,377
70105596,548
60037022,549
60034571,215
70053456,550
80173150,551
80173150,552
81168341,553
81168346,543
80137461,554
81012857,555
70123116,469
80190101,556
81024712,557
70112494,558
80215922,559
70113306,560
70113305,561
80032472,562
70181653,563
80048200,564
80032474,565
80032476,566
70127589,567
80104130,568
80032473,463
70090035,569
81024713,570
70117268,571
70211216,572
70211216,573
70140322,574
81024696,463
70303428,575
70125882,576
70101039,577
70123121,578
80152182,579
70229042,580
70042756,581
80187618,582
81024704,565
70229047,583
70229555,584
70213515,585
81018563,586
81018565,586
70114948,587
80190103,433
81024729,588
80032477,589
81024711,590
81025908,591
70303495,592
70303429,593
80084768,594
70096752,595
70096752,596
70229046,596
70229046,595
80084767,597
81024701,598
70229048,599
70292836,600
80141767,601
70139542,602
70039175,603
70225597,556
70123119,604
70150437,605
80084667,606
70099118,607
81024705,608
80198771,609
80062096,610
80062096,611
70291096,612
70130483,613
80031038,614
80065930,615
80112370,616
80112370,617
70165189,55
70197459,618
80095193,134
70246439,618
80158155,134
80158155,618
80158155,617
80063617,619
80202503,620
70257412,377
80118280,615
80135360,92
80135360,621
70286355,622
80150246,623
80017272,213
80017272,624
80017272,625
80017272,626
80017272,627
80017272,628
80017272,629
80017272,630
80017272,631
80017272,632
80075828,633
80095089,55
80208176,634
80208176,635
80116741,636
80063290,637
80063290,638
80162195,639
80106036,640
80198687,641
80162246,642
80162246,643
80112371,644
80112371,645
80112371,646
80208413,647
80094453,648
70153553,649
80098709,650
80092849,97
80107372,586
80138584,651
80106138,652
80038288,653
80109089,654
80109089,655
80061797,656
70206821,657
70206816,658
60022914,659
70206818,660
70206819,661
70206822,662
70206820,663
70206823,664
70206824,665
70206825,666
70206826,667
81029831,668
80194289,669
80191219,670
80190859,671
70243445,672
70243445,673
80201542,674
81079723,675
